Rank,Release Group,Worldwide,Domestic,%,Foreign,%,Year
178,Hocus Pocus 2020 Re-release,"$5,609,193","$4,828,000",86.1%,"$781,193",13.9%,2020
179,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,-,"$5,543,147",100%,2020
180,Mama Weed,"$5,461,144","$29,151",0.5%,"$5,431,993",99.5%,2020
181,Divorce Club,"$5,316,313",-,-,"$5,316,313",100%,2020
182,Cats & Dogs 3: Paws Unite,"$5,300,000",-,-,"$5,300,000",100%,2020
183,Cindy La Regia,"$5,222,322",-,-,"$5,222,322",100%,2020
184,Run,"$5,184,368",-,-,"$5,184,368",100%,2020
185,Love Aaj Kal,"$5,120,794",-,-,"$5,120,794",100%,2020
186,Masked Ward,"$5,107,013",-,-,"$5,107,013",100%,2020
187,Ayyappanum Koshiyum,"$5,088,713",-,-,"$5,088,713",100%,2020
188,Baba Parasi,"$5,084,342",-,-,"$5,084,342",100%,2020
189,Die Känguru-Chroniken,"$5,081,127",-,-,"$5,081,127",100%,2020
190,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%,2020
191,Mayday,"$5,011,408",-,-,"$5,011,408",100%,2020
192,Bheeshma,"$4,997,080",-,-,"$4,997,080",100%,2020
193,Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,-,"$4,971,635",100%,2020
194,Godai - The Wunderkind,"$4,948,225",-,-,"$4,948,225",100%,2020
195,Military Wives,"$4,890,505",-,-,"$4,890,505",100%,2020
196,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%,2020
197,The Tales for Old and Young,"$4,853,143",-,-,"$4,853,143",100%,2020
198,Streltsov,"$4,850,073",-,-,"$4,850,073",100%,2020
199,Persian Lessons,"$4,849,240",-,-,"$4,849,240",100%,2020
200,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-,2020
,,,,,,,2020
Rank,Release Group,Worldwide,Domestic,%,Foreign,%,Year
1,Avengers: Endgame,"$2,799,439,100","$858,373,000",30.7%,"$1,941,066,100",69.3%,2019
2,The Lion King,"$1,656,943,394","$543,638,043",32.8%,"$1,113,305,351",67.2%,2019
3,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%,2019
4,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.5%,"$741,395,911",65.5%,2019
5,Captain Marvel,"$1,128,274,794","$426,829,839",37.8%,"$701,444,955",62.2%,2019
6,Joker,"$1,078,751,311","$335,451,311",31.1%,"$743,300,000",68.9%,2019
7,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248","$515,202,542",48%,"$558,941,706",52%,2019
8,Toy Story 4,"$1,073,394,593","$434,038,008",40.4%,"$639,356,585",59.6%,2019
9,Aladdin,"$1,050,693,953","$355,559,216",33.8%,"$695,134,737",66.2%,2019
10,Jumanji: The Next Level,"$801,693,929","$320,314,960",40%,"$481,378,969",60%,2019
11,Fast & Furious Presents: Hobbs & Shaw,"$760,732,926","$173,956,935",22.9%,"$586,775,991",77.1%,2019
12,Ne Zha,"$726,063,471","$3,695,533",0.5%,"$722,367,938",99.5%,2019
13,The Wandering Earth,"$699,856,699","$5,971,413",0.9%,"$693,885,286",99.1%,2019
14,How to Train Your Dragon: The Hidden World,"$521,799,505","$160,799,505",30.8%,"$361,000,000",69.2%,2019
15,Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",23.2%,"$377,800,484",76.8%,2019
16,It Chapter Two,"$473,093,228","$211,593,228",44.7%,"$261,500,000",55.3%,2019
17,"My People, My Country","$450,064,993","$2,356,683",0.5%,"$447,708,310",99.5%,2019
18,Pokémon: Detective Pikachu,"$433,305,346","$144,105,346",33.3%,"$289,200,000",66.7%,2019
19,The Secret Life of Pets 2,"$431,164,459","$158,980,250",36.9%,"$272,184,209",63.1%,2019
20,The Captain,"$417,282,021","$706,572",0.2%,"$416,575,449",99.8%,2019
21,Alita: Battle Angel,"$404,980,543","$85,838,210",21.2%,"$319,142,333",78.8%,2019
22,Godzilla: King of the Monsters,"$387,300,138","$110,500,138",28.5%,"$276,800,000",71.5%,2019
23,1917,"$384,580,017","$159,227,644",41.4%,"$225,352,373",58.6%,2019
24,Once Upon a Time... in Hollywood,"$377,426,903","$142,502,728",37.8%,"$234,924,175",62.2%,2019
25,Shazam!,"$365,971,656","$140,371,656",38.4%,"$225,600,000",61.6%,2019
26,Dumbo,"$353,284,621","$114,766,307",32.5%,"$238,518,314",67.5%,2019
27,John Wick: Chapter 3 - Parabellum,"$327,777,335","$171,015,687",52.2%,"$156,761,648",47.8%,2019
28,Crazy Alien,"$327,598,891",-,-,"$327,598,891",100%,2019
29,Knives Out,"$312,897,920","$165,363,234",52.8%,"$147,534,686",47.2%,2019
30,Terminator: Dark Fate,"$261,119,292","$62,253,077",23.8%,"$198,866,215",76.2%,2019
31,Parasite,"$258,098,332","$53,369,749",20.7%,"$204,728,583",79.3%,2019
32,Us,"$256,022,707","$175,084,580",68.4%,"$80,938,127",31.6%,2019
33,Pegasus,"$255,863,112",-,-,"$255,863,112",100%,2019
34,Men in Black: International,"$253,890,701","$80,001,807",31.5%,"$173,888,894",68.5%,2019
35,Dark Phoenix,"$252,442,974","$65,845,974",26.1%,"$186,597,000",73.9%,2019
36,Glass,"$246,999,039","$111,048,468",45%,"$135,950,571",55%,2019
37,The Bravest,"$245,179,562","$290,217",0.1%,"$244,889,345",99.9%,2019
38,Annabelle Comes Home,"$231,252,591","$74,152,591",32.1%,"$157,100,000",67.9%,2019
39,Better Days,"$225,918,798","$1,921,657",0.9%,"$223,997,141",99.1%,2019
40,Ford v Ferrari,"$225,508,210","$117,624,357",52.2%,"$107,883,853",47.8%,2019
41,Little Women,"$218,843,645","$108,101,214",49.4%,"$110,742,431",50.6%,2019
42,The Addams Family,"$203,044,905","$100,044,905",49.3%,"$103,000,000",50.7%,2019
43,Rocketman,"$195,320,400","$96,368,160",49.3%,"$98,952,240",50.7%,2019
44,Downton Abbey,"$194,694,725","$96,853,865",49.7%,"$97,840,860",50.3%,2019
45,Weathering with You,"$192,822,685","$8,056,636",4.2%,"$184,766,049",95.8%,2019
46,The Lego Movie 2: The Second Part,"$192,306,508","$105,806,508",55%,"$86,500,000",45%,2019
47,Sheep Without a Shepherd,"$191,602,146",-,-,"$191,602,146",100%,2019
48,The White Storm 2: Drug Lords,"$189,396,380","$609,461",0.3%,"$188,786,919",99.7%,2019
49,Abominable,"$188,623,517","$60,716,390",32.2%,"$127,907,127",67.8%,2019
50,Ip Man 4: The Finale,"$176,345,966","$3,956,031",2.2%,"$172,389,935",97.8%,2019
51,Gemini Man,"$173,469,516","$48,546,770",28%,"$124,922,746",72%,2019
52,Spies in Disguise,"$171,616,764","$66,757,013",38.9%,"$104,859,751",61.1%,2019
53,Hustlers,"$157,563,598","$104,963,598",66.6%,"$52,600,000",33.4%,2019
54,The Climbers,"$156,892,866","$487,157",0.3%,"$156,405,709",99.7%,2019
55,Escape Room,"$155,712,077","$57,005,601",36.6%,"$98,706,476",63.4%,2019
56,Yesterday,"$154,608,856","$73,286,650",47.4%,"$81,322,206",52.6%,2019
57,The Angry Birds Movie 2,"$147,792,047","$41,667,116",28.2%,"$106,124,931",71.8%,2019
58,Angel Has Fallen,"$146,661,977","$69,030,436",47.1%,"$77,631,541",52.9%,2019
59,Ad Astra,"$127,461,872","$50,188,370",39.4%,"$77,273,502",60.6%,2019
60,Midway,"$127,390,389","$56,846,802",44.6%,"$70,543,587",55.4%,2019
61,The Upside,"$125,852,517","$108,252,517",86%,"$17,600,000",14%,2019
62,Last Christmas,"$123,446,172","$35,150,750",28.5%,"$88,295,422",71.5%,2019
63,The Curse of La Llorona,"$123,233,739","$54,733,739",44.4%,"$68,500,000",55.6%,2019
64,Looking Up,"$122,994,583","$84,267",<0.1%,"$122,910,316",99.9%,2019
65,Zombieland: Double Tap,"$122,810,399","$73,123,082",59.5%,"$49,687,317",40.5%,2019
66,Dora and the Lost City of Gold,"$120,597,108","$60,477,943",50.1%,"$60,119,165",49.9%,2019
67,Extreme Job,"$119,932,733","$1,565,885",1.3%,"$118,366,848",98.7%,2019
68,Wonder Park,"$119,559,110","$45,216,793",37.8%,"$74,342,317",62.2%,2019
69,P Storm,"$117,991,727","$326,711",0.3%,"$117,665,016",99.7%,2019
70,Detective Conan: The Fist of Blue Sapphire,"$115,448,200",-,-,"$115,448,200",100%,2019
71,The Gentlemen,"$115,171,795","$36,471,795",31.7%,"$78,700,000",68.3%,2019
72,Pet Sematary,"$113,118,226","$54,724,696",48.4%,"$58,393,530",51.6%,2019
73,Boonie Bears: Blast Into the Past,"$112,367,881",-,-,"$112,367,881",100%,2019
74,Good Boys,"$111,173,598","$83,140,306",74.8%,"$28,033,292",25.2%,2019
