Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
"$17,548,993",Just Married,Twentieth Century Fox,"January 10, 2003 (Domestic)",PG-13,1 hr 35 min,,"A young newlywed couple honeymoon in Europe, where obstacles challenge their ability to sustain the marriage.","['Ashton Kutcher', 'Brittany Murphy', 'Christian Kane', 'David Moscow']","['Shawn Levy', 'Sam Harper', 'Robert Simonds', 'Christophe Beck', 'Jonathan Brown', 'Scott Hill', 'Don Zimmerman', 'Nina Ruscio']"
"$16,302,063",The Recruit,Walt Disney Studios Motion Pictures,"January 31, 2003 (Domestic)",PG-13,1 hr 55 min,Action Thriller,A brilliant young CIA trainee is asked by his mentor to help find a mole in the Agency.,"['Al Pacino', 'Colin Farrell', 'Bridget Moynahan', 'Gabriel Macht']","['Roger Donaldson', 'Roger Towne', 'Kurt Wimmer', 'Mitch Glazer', 'Jeff Apple', 'Gary Barber', 'Roger Birnbaum', 'Klaus Badelt', 'Stuart Dryburgh', 'David Rosenbloom', 'Andrew McAlpine']"
"$23,424,118",Once Upon a Time in Mexico,Sony Pictures Releasing,"September 12, 2003 (Domestic)",R,1 hr 42 min,,"Hitman ""El Mariachi"" becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general.","['Antonio Banderas', 'Salma Hayek', 'Johnny Depp', 'Willem Dafoe']","['Robert Rodriguez', 'Robert Rodriguez', 'Elizabeth Avellan', 'Carlos Gallardo', 'Robert Rodriguez', 'Robert Rodriguez', 'Robert Rodriguez', 'Robert Rodriguez', 'Robert Rodriguez']"
"$15,021,088",Phone Booth,Twentieth Century Fox,"April 4, 2003 (Domestic)",R,1 hr 21 min,,"Publicist Stuart Shepard finds himself trapped in a phone booth, pinned down by an extortionist's sniper rifle. Unable to leave or receive outside help, Stuart's negotiation with the caller leads to a jaw-dropping climax.","['Colin Farrell', 'Kiefer Sutherland', 'Forest Whitaker', 'Radha Mitchell']","['Joel Schumacher', 'Larry Cohen', 'Gil Netter', 'David Zucker', 'Harry Gregson-Williams', 'Matthew Libatique', 'Mark Stevens', 'Andrew Laws']"
"$21,753,759",Underworld,Screen Gems,"September 19, 2003 (EMEA, Domestic)",R,2 hr 1 min,,"Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons.","['Kate Beckinsale', 'Scott Speedman', 'Shane Brolly', 'Michael Sheen']","['Len Wiseman', 'Kevin Grevioux', 'Len Wiseman', 'Danny McBride', 'Danny McBride', 'Gary Lucchesi', 'Tom Rosenberg', 'Richard S. Wright', 'Paul Haslinger', 'Tony Pierce-Roberts', 'Martin Hunter', 'Bruton Jones']"
"$151,393",Calendar Girls,Walt Disney Studios Motion Pictures,"September 5, 2003 (United Kingdom)",PG-13,1 hr 48 min,,A Women's Institute chapter's fundraising effort for a local hospital by posing nude for a calendar becomes a media sensation.,"['Helen Mirren', 'Julie Walters', 'Penelope Wilton', 'John Alderton']","['Nigel Cole', 'Juliette Towhidi', 'Tim Firth', 'Nick Barton', 'Suzanne Mackie', 'Patrick Doyle', 'Ashley Rowe', 'Michael Parker', 'Martin Childs']"
"$16,200,000",Final Destination 2,New Line Cinema,"January 31, 2003 (Domestic)",R,1 hr 30 min,Horror Thriller,Death is stalking Kimberly Corman and multiple survivors of a deadly highway accident.,"['A.J. Cook', 'Ali Larter', 'Tony Todd', 'Michael Landes']","['David R. Ellis', 'J. Mackye Gruber', 'Eric Bress', 'J. Mackye Gruber', 'Eric Bress', 'Jeffrey Reddick', 'Jeffrey Reddick', 'Craig Perry', 'Warren Zide', 'Shirley Walker', 'Gary Capo', 'Eric A. Sears', 'Michael S. Bolton']"
"$16,225,263",Identity,Sony Pictures Releasing,"April 25, 2003 (Domestic)",R,1 hr 30 min,,"Stranded at a desolate Nevada motel during a nasty rain storm, ten strangers become acquainted with each other when they realize that they're being killed off one by one.","['John Cusack', 'Ray Liotta', 'Amanda Peet', 'John Hawkes']","['James Mangold', 'Michael Cooney', 'Cathy Konrad', 'Alan Silvestri', 'Phedon Papamichael', 'David Brenner', 'Mark Friedberg']"
"$16,580,209",Kangaroo Jack,Warner Bros.,"January 17, 2003 (Domestic)",,1 hr 29 min,Action Adventure Comedy Crime Family,"Two childhood friends, a New York hairstylist and a would-be musician, get caught up with the mob and are forced to deliver $50,000 to Australia, but things go haywire when the money is lost to a wild kangaroo.","['Anthony Anderson', ""Jerry O'Connell"", 'Estella Warren', 'Christopher Walken']","['David McNally', 'Steve Bing', ""Barry O'Brien"", 'Steve Bing', 'Scott Rosenberg', 'Jerry Bruckheimer', 'Trevor Rabin', 'Peter Menzies Jr.', 'William Goldenberg', 'Jim May', 'John Murray', 'George Liddle']"
"$19,603,630",Shanghai Knights,Walt Disney Studios Motion Pictures,"January 30, 2003 (Malaysia)",PG-13,1 hr 54 min,,"When a Chinese rebel murders Chon's estranged father and escapes to England, Chon and Roy make their way to London with revenge on their minds.","['Jackie Chan', 'Owen Wilson', 'Fann Wong', 'Aaron Taylor-Johnson']","['David Dobkin', 'Alfred Gough', 'Miles Millar', 'Alfred Gough', 'Miles Millar', 'Gary Barber', 'Roger Birnbaum', 'Jonathan Glickman', 'Randy Edelman', 'Adrian Biddle', 'Malcolm Campbell', 'Allan Cameron']"
